Date,window,strategy,structure,position,lots,pnl,capital_after,iv_direction_correct
2024-08-14,7,data_driven,butterfly,SHORT_FLY,12,-15615.000000000004,140799.99999999962,False
2024-08-26,7,data_driven,butterfly,SHORT_FLY,50,12062.500000000113,152862.49999999974,True
2024-08-29,7,data_driven,butterfly,SHORT_FLY,45,15243.750000000076,168106.24999999983,False
2024-09-04,7,data_driven,butterfly,SHORT_FLY,13,-16445.000000000025,151661.2499999998,True
2024-09-06,7,data_driven,butterfly,SHORT_FLY,16,-14679.999999999973,136981.24999999983,True
2024-09-12,7,data_driven,butterfly,SHORT_FLY,18,13364.999999999996,150346.24999999983,False
2024-10-04,7,data_driven,butterfly,SHORT_FLY,9,-14872.500000000031,135473.7499999998,True
2024-10-08,7,data_driven,butterfly,SHORT_FLY,3,10481.25,145954.9999999998,True
2024-11-01,7,data_driven,butterfly,SHORT_FLY,50,-8562.50000000003,137392.49999999977,True
2024-11-06,7,data_driven,butterfly,SHORT_FLY,3,13136.250000000005,150528.74999999977,False
2024-11-25,7,data_driven,butterfly,SHORT_FLY,9,-14940.000000000007,135588.74999999977,False
2024-12-19,7,data_driven,butterfly,SHORT_FLY,7,11908.750000000013,147497.49999999977,True
2024-12-31,7,data_driven,butterfly,SHORT_FLY,50,-687.4999999999432,146809.99999999983,True
2025-01-06,8,data_driven,butterfly,SHORT_FLY,2,10795.000000000007,157604.99999999983,True
2025-01-08,8,data_driven,butterfly,SHORT_FLY,36,-15435.000000000031,142169.9999999998,False
2025-01-16,8,data_driven,butterfly,LONG_FLY,10,-13662.499999999996,128507.4999999998,False
2025-01-28,8,data_driven,butterfly,SHORT_FLY,50,10375.000000000085,138882.49999999988,True
2025-01-29,8,data_driven,butterfly,SHORT_FLY,50,-4312.500000000056,134569.99999999983,True
2025-02-05,8,data_driven,butterfly,LONG_FLY,43,13276.249999999995,147846.24999999983,True
2025-02-06,8,data_driven,butterfly,LONG_FLY,31,-14570.00000000001,133276.24999999983,False
2025-02-24,8,data_driven,butterfly,SHORT_FLY,3,-12922.500000000007,120353.74999999983,False
2025-02-28,8,data_driven,butterfly,SHORT_FLY,4,10959.999999999985,131313.74999999983,True
2025-03-03,8,data_driven,butterfly,LONG_FLY,50,-8999.999999999985,122313.74999999984,True
2025-03-04,8,data_driven,butterfly,SHORT_FLY,12,11730.000000000007,134043.74999999985,False
2025-03-06,8,data_driven,butterfly,SHORT_FLY,12,-13259.999999999989,120783.74999999987,True
2025-03-11,8,data_driven,butterfly,SHORT_FLY,12,12029.999999999989,132813.74999999985,False
2025-03-13,8,data_driven,butterfly,LONG_FLY,50,-6437.499999999972,126376.24999999988,True
2025-03-20,8,data_driven,butterfly,SHORT_FLY,11,12237.5,138613.74999999988,False
2025-03-25,8,data_driven,butterfly,LONG_FLY,35,-13562.499999999976,125051.24999999991,False
2025-04-04,8,data_driven,butterfly,SHORT_FLY,3,11883.749999999998,136934.9999999999,False
2025-04-09,8,data_driven,butterfly,SHORT_FLY,8,-12889.999999999964,124044.99999999994,True
2025-04-28,8,data_driven,butterfly,LONG_FLY,11,-11962.5,112082.49999999994,True
