Date,year,strategy,position,strike,pnl,iv_direction_correct
2024-08-26,2024,manual_agree,SHORT_CALENDAR,25000.0,-438.74999999999955,False
2024-09-10,2024,manual_agree,SHORT_CALENDAR,25050.0,-267.50000000000006,True
2024-09-12,2024,manual_agree,SHORT_CALENDAR,25400.0,-5816.249999999999,True
2024-09-20,2024,manual_agree,SHORT_CALENDAR,25800.0,4011.2500000000005,False
2024-10-04,2024,manual_agree,LONG_CALENDAR,25000.0,-263.7500000000017,True
2024-11-06,2024,manual_agree,SHORT_CALENDAR,24500.0,-3761.2500000000005,True
2024-11-25,2024,manual_agree,SHORT_CALENDAR,24200.0,-1901.25,True
2024-12-19,2024,manual_agree,LONG_CALENDAR,23950.0,-1397.4999999999995,True
2025-01-16,2025,manual_agree,SHORT_CALENDAR,23300.0,-502.4999999999999,False
2025-01-29,2025,manual_agree,SHORT_CALENDAR,23150.0,-372.5000000000001,False
2025-02-05,2025,manual_agree,SHORT_CALENDAR,23700.0,-426.2500000000003,True
2025-02-24,2025,manual_agree,LONG_CALENDAR,22550.0,152.49999999999915,False
2025-02-28,2025,manual_agree,LONG_CALENDAR,22100.0,1691.249999999998,True
2025-03-06,2025,manual_agree,SHORT_CALENDAR,22550.0,392.50000000000114,False
2025-03-17,2025,manual_agree,SHORT_CALENDAR,22500.0,-1130.0000000000005,False
2025-03-20,2025,manual_agree,SHORT_CALENDAR,23200.0,-1815.0000000000005,True
2025-04-04,2025,manual_agree,LONG_CALENDAR,22900.0,4986.25,False
2025-04-09,2025,manual_agree,LONG_CALENDAR,22400.0,552.500000000002,True
2025-04-21,2025,manual_agree,SHORT_CALENDAR,24150.0,-4677.5,False
2025-04-28,2025,manual_agree,SHORT_CALENDAR,24350.0,-2584.9999999999995,True
2025-05-05,2025,manual_agree,SHORT_CALENDAR,24450.0,-1303.7500000000002,True
2025-05-22,2025,manual_agree,LONG_CALENDAR,24600.0,2690.0,False
2025-06-09,2025,manual_agree,SHORT_CALENDAR,25100.0,-539.9999999999991,False
2025-06-25,2025,manual_agree,SHORT_CALENDAR,25250.0,-1547.5000000000002,True
2022-09-21,2022,manual_disagree,SHORT_CALENDAR,17700.0,1337.5000000000014,True
2022-09-30,2022,manual_disagree,SHORT_CALENDAR,17100.0,-840.0000000000034,True
2023-01-11,2023,manual_disagree,LONG_CALENDAR,17900.0,2127.5,True
2023-04-26,2023,manual_disagree,SHORT_CALENDAR,17800.0,757.5000000000008,False
2023-10-25,2023,manual_disagree,LONG_CALENDAR,19100.0,7545.000000000002,True
2023-11-01,2023,manual_disagree,LONG_CALENDAR,19000.0,1259.9999999999995,True
2024-04-05,2024,manual_disagree,LONG_CALENDAR,22500.0,1206.25,True
2024-08-29,2024,manual_disagree,LONG_CALENDAR,25150.0,216.25000000000085,False
2024-09-06,2024,manual_disagree,LONG_CALENDAR,24850.0,3213.7500000000005,True
2024-09-09,2024,manual_disagree,SHORT_CALENDAR,24950.0,-1228.750000000001,True
2024-10-08,2024,manual_disagree,SHORT_CALENDAR,25000.0,-642.5000000000005,False
2025-01-06,2025,manual_disagree,LONG_CALENDAR,23600.0,5575.000000000001,True
2025-01-28,2025,manual_disagree,SHORT_CALENDAR,22950.0,-408.75000000000057,False
2025-02-06,2025,manual_disagree,LONG_CALENDAR,23600.0,244.99999999999886,True
2025-04-11,2025,manual_disagree,SHORT_CALENDAR,22850.0,1076.2500000000002,True
2025-04-17,2025,manual_disagree,SHORT_CALENDAR,23850.0,-6306.25,True
2025-05-13,2025,manual_disagree,LONG_CALENDAR,24600.0,5127.5,False
2025-05-26,2025,manual_disagree,SHORT_CALENDAR,25000.0,-358.75000000000057,False
2025-05-27,2025,manual_disagree,LONG_CALENDAR,24850.0,1174.999999999998,True
2025-06-20,2025,manual_disagree,SHORT_CALENDAR,25100.0,-2483.7500000000005,True
2025-06-23,2025,manual_disagree,LONG_CALENDAR,24950.0,1337.5,True
