Date,strategy,option_type,strike,expiry,dte,open,close,lot_size,pnl,iv_direction_correct
2023-03-10,data_driven,CE,17400.0,2023-03-16,6,152.0,109.1,50,-2145.0000000000005,True
2023-03-13,data_driven,CE,17150.0,2023-03-16,3,289.95,120.0,50,-8497.5,True
2023-03-15,data_driven,CE,16950.0,2023-03-16,1,209.75,78.6,50,-6557.5,True
2023-03-17,data_driven,PE,17100.0,2023-03-23,6,125.05,100.9,50,-1207.4999999999995,True
2023-03-20,data_driven,CE,17000.0,2023-03-23,3,179.0,106.2,50,-3640.0,True
2023-03-21,data_driven,CE,17100.0,2023-03-23,2,88.8,98.0,50,460.0000000000001,False
2023-03-22,data_driven,PE,17150.0,2023-03-23,1,74.6,69.7,50,-244.99999999999957,True
2023-04-26,data_driven,CE,17800.0,2023-04-27,1,37.8,47.1,50,465.0000000000002,True
2023-04-28,data_driven,PE,18050.0,2023-05-04,6,122.95,61.75,50,-3060.0,True
2023-05-03,data_driven,PE,18100.0,2023-05-04,1,50.0,51.75,50,87.5,False
2023-05-05,data_driven,CE,18050.0,2023-05-11,6,165.15,113.55,50,-2580.0000000000005,True
2023-05-08,data_driven,PE,18250.0,2023-05-11,3,159.3,59.2,50,-5005.0,False
2023-08-03,data_driven,CE,19400.0,2023-08-10,7,175.75,116.9,50,-2942.4999999999995,False
2023-08-16,data_driven,PE,19450.0,2023-08-17,1,97.0,43.05,50,-2697.5,True
2023-08-28,data_driven,PE,19300.0,2023-08-31,3,109.9,62.05,50,-2392.5000000000005,False
2023-09-22,data_driven,CE,19650.0,2023-09-28,6,190.0,125.7,50,-3215.0,True
2023-09-27,data_driven,CE,19700.0,2023-09-28,1,44.2,53.5,50,464.9999999999999,True
2023-10-04,data_driven,CE,19450.0,2023-10-05,1,60.2,41.8,50,-920.0000000000002,False
2023-10-16,data_driven,CE,19750.0,2023-10-19,3,93.75,82.25,50,-575.0,True
2023-10-17,data_driven,CE,19800.0,2023-10-19,2,75.0,73.55,50,-72.50000000000014,False
2023-10-19,data_driven,CE,19600.0,2023-10-26,7,130.95,118.7,50,-612.4999999999993,False
2023-10-20,data_driven,CE,19550.0,2023-10-26,6,125.0,85.3,50,-1985.0000000000002,False
2023-10-25,data_driven,CE,19100.0,2023-10-26,1,220.55,76.25,50,-7215.000000000001,True
2023-10-31,data_driven,CE,19100.0,2023-11-02,2,132.0,76.85,50,-2757.5000000000005,True
2023-11-01,data_driven,CE,19000.0,2023-11-02,1,144.0,51.75,50,-4612.5,True
2024-02-14,data_driven,PE,21850.0,2024-02-15,1,230.0,64.35,25,-4141.25,False
2024-02-15,data_driven,PE,21900.0,2024-02-22,7,138.5,123.9,25,-364.9999999999999,True
2024-04-05,data_driven,PE,22500.0,2024-04-10,5,116.4,101.95,25,-361.25000000000006,False
2024-04-15,data_driven,CE,22250.0,2024-04-18,3,234.05,144.6,25,-2236.2500000000005,True
2024-04-16,data_driven,CE,22150.0,2024-04-18,2,174.0,83.8,25,-2255.0,True
2024-04-23,data_driven,PE,22350.0,2024-04-25,2,76.6,78.9,25,57.500000000000284,True
2024-05-30,data_driven,CE,22500.0,2024-06-06,7,608.95,461.05,25,-3697.500000000001,False
2024-06-03,data_driven,PE,23250.0,2024-06-06,3,336.25,319.8,25,-411.2499999999997,True
2024-07-19,data_driven,CE,24550.0,2024-07-25,6,412.1,222.15,25,-4748.75,True
2024-07-23,data_driven,CE,24500.0,2024-07-25,2,230.0,101.65,25,-3208.75,False
2024-07-25,data_driven,CE,24400.0,2024-08-01,7,100.45,159.85,25,1484.9999999999998,True
2024-08-02,data_driven,CE,24700.0,2024-08-08,6,181.0,142.5,25,-962.5,True
2024-08-05,data_driven,CE,24050.0,2024-08-08,3,350.8,222.55,25,-3206.25,True
2024-08-06,data_driven,PE,24000.0,2024-08-08,2,135.0,136.6,25,39.99999999999986,True
2024-08-07,data_driven,PE,24300.0,2024-08-08,1,150.5,73.2,25,-1932.5,True
2024-08-09,data_driven,PE,24350.0,2024-08-14,5,190.0,133.2,25,-1420.0000000000002,True
2024-08-12,data_driven,CE,24350.0,2024-08-14,2,170.65,107.1,25,-1588.7500000000002,False
2024-08-14,data_driven,CE,24150.0,2024-08-22,8,224.95,188.1,25,-921.2499999999999,False
