Date,strategy,position,expiry,dte,open,close,lot_size,pnl,iv_direction_correct
2024-04-23,data_driven,SHORT,2024-04-25,2,22448.0,22371.05,25,1923.7500000000182,True
2024-05-30,data_driven,LONG,2024-06-27,28,22827.65,22627.35,25,-5007.500000000073,False
2024-06-03,data_driven,SHORT,2024-06-27,24,23501.65,23407.9,25,2343.75,True
2024-07-19,data_driven,LONG,2024-07-25,6,24761.0,24529.1,25,-5797.500000000036,True
2024-07-23,data_driven,LONG,2024-07-25,2,24551.9,24463.1,25,-2220.0000000000728,False
2024-07-25,data_driven,LONG,2024-08-29,35,24368.0,24455.4,25,2185.0000000000364,True
2024-08-02,data_driven,LONG,2024-08-29,27,24824.95,24711.55,25,-2835.0000000000364,True
2024-08-05,data_driven,LONG,2024-08-29,24,24550.0,24102.95,25,-11176.249999999982,True
2024-08-06,data_driven,SHORT,2024-08-29,23,24230.2,24056.9,25,4332.499999999982,True
2024-08-07,data_driven,SHORT,2024-08-29,22,24310.2,24366.45,25,-1406.25,True
2024-08-09,data_driven,SHORT,2024-08-29,20,24350.2,24401.5,25,-1282.4999999999818,True
2024-08-12,data_driven,LONG,2024-08-29,17,24355.0,24356.8,25,44.99999999998181,False
2024-08-14,data_driven,LONG,2024-08-29,15,24199.95,24174.65,25,-632.4999999999818,False
2024-08-26,data_driven,SHORT,2024-08-29,3,24901.65,25043.3,25,-3541.2499999999454,False
2024-08-29,data_driven,SHORT,2024-09-26,28,25150.0,25265.2,25,-2880.000000000018,True
2024-09-04,data_driven,LONG,2024-09-26,22,25210.15,25247.8,25,941.2499999999454,True
2024-09-06,data_driven,LONG,2024-09-26,20,25189.8,24906.0,25,-7094.999999999982,True
2024-09-09,data_driven,SHORT,2024-09-26,17,24865.35,24985.0,25,-2991.2500000000364,True
2024-09-10,data_driven,SHORT,2024-09-26,16,25034.0,25083.0,25,-1225.0,True
2024-09-12,data_driven,LONG,2024-09-26,14,25060.0,25356.3,25,7407.499999999982,False
2024-09-20,data_driven,SHORT,2024-09-26,6,25552.2,25767.75,25,-5388.749999999982,False
2024-10-04,data_driven,LONG,2024-10-31,27,25400.0,25173.85,25,-5653.750000000036,True
2024-10-08,data_driven,SHORT,2024-10-31,23,24983.95,25131.65,25,-3692.500000000018,False
2024-11-01,data_driven,LONG,2024-11-28,27,24419.95,24383.65,25,-907.4999999999818,True
2024-11-06,data_driven,SHORT,2024-11-28,22,24367.0,24587.1,25,-5502.499999999964,True
2024-11-25,data_driven,SHORT,2024-11-28,3,24268.0,24273.5,25,-137.5,True
2024-12-19,data_driven,LONG,2024-12-26,7,24100.0,24018.8,25,-2030.0000000000182,True
